TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,TokenContractAddress,Type,TokenSymbol,TokensTransferred,TransactionFee,Status,ErrCode
0x4e537d8054772211244d9c17699d646578a360c03db55e9ea1db6cf8637150f8,10507248,2024-07-17 02:07:59.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x57551E2A074A510D351CBD71B1452E168184c2C0,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805168,1981755460543,ok,
0xf55adce6086d045e1bbd778b19bd6add0249a312992183c2e8aba5dae36b100d,10507271,2024-07-17 02:08:45.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,2044034737315,ok,
0xf55adce6086d045e1bbd778b19bd6add0249a312992183c2e8aba5dae36b100d,10507271,2024-07-17 02:08:45.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,2044034737315,ok,
0xf55adce6086d045e1bbd778b19bd6add0249a312992183c2e8aba5dae36b100d,10507271,2024-07-17 02:08:45.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805167,2044034737315,ok,
0xf55adce6086d045e1bbd778b19bd6add0249a312992183c2e8aba5dae36b100d,10507271,2024-07-17 02:08:45.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0xf0B9A1cA2970228FD6B113e44B6EA94cED6f4D86,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805167,2044034737315,ok,
0xcd5fa29dc321897940b3105117fd6e11639df7366dee5da14598cd0e8a9dc05c,10507294,2024-07-17 02:09:31.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,2010670099357,ok,
0xcd5fa29dc321897940b3105117fd6e11639df7366dee5da14598cd0e8a9dc05c,10507294,2024-07-17 02:09:31.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,2010670099357,ok,
0xcd5fa29dc321897940b3105117fd6e11639df7366dee5da14598cd0e8a9dc05c,10507294,2024-07-17 02:09:31.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805166,2010670099357,ok,
0xcd5fa29dc321897940b3105117fd6e11639df7366dee5da14598cd0e8a9dc05c,10507294,2024-07-17 02:09:31.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0xc9ef48e6Adc8684D8Ae6B1a1e5e629682C0e5f0f,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805166,2010670099357,ok,
0xa0f534ed62b393b1f74a55daad0995fd9b5f0c053644a0e4e566caaf7c5e0426,10507318,2024-07-17 02:10:19.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,1970395741500,ok,
0xa0f534ed62b393b1f74a55daad0995fd9b5f0c053644a0e4e566caaf7c5e0426,10507318,2024-07-17 02:10:19.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,1970395741500,ok,
0xa0f534ed62b393b1f74a55daad0995fd9b5f0c053644a0e4e566caaf7c5e0426,10507318,2024-07-17 02:10:19.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805165,1970395741500,ok,
0xa0f534ed62b393b1f74a55daad0995fd9b5f0c053644a0e4e566caaf7c5e0426,10507318,2024-07-17 02:10:19.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0xAe97AbEDca507a5aE06f925feF2527B3f3D45F38,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805165,1970395741500,ok,
0xb2e5529f9e3a45e5df592923f2bd644c04955b6e1a384d4bcd78b8da0c857a9f,10507341,2024-07-17 02:11:05.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,1959774744409,ok,
0xb2e5529f9e3a45e5df592923f2bd644c04955b6e1a384d4bcd78b8da0c857a9f,10507341,2024-07-17 02:11:05.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,1959774744409,ok,
0xb2e5529f9e3a45e5df592923f2bd644c04955b6e1a384d4bcd78b8da0c857a9f,10507341,2024-07-17 02:11:05.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805164,1959774744409,ok,
0xb2e5529f9e3a45e5df592923f2bd644c04955b6e1a384d4bcd78b8da0c857a9f,10507341,2024-07-17 02:11:05.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x961f2A33Ac315Ca9BCB8610e85B3D0CdEA61C6D9,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805164,1959774744409,ok,
